Normal loss: 1.9329, Plan similarity: 0.1982, Random contrast: 0.6719
Normal loss: 2.1391, Plan similarity: 0.4629, Random contrast: 0.5781
Normal loss: 1.8570, Plan similarity: 0.1211, Random contrast: 0.6875
Normal loss: 1.6331, Plan similarity: 0.1855, Random contrast: 0.6797
Normal loss: 1.7351, Plan similarity: 0.1494, Random contrast: 0.6797
Normal loss: 1.9326, Plan similarity: 0.2695, Random contrast: 0.4160
Normal loss: 1.6184, Plan similarity: 0.1504, Random contrast: 0.6875
Normal loss: 1.4841, Plan similarity: 0.1113, Random contrast: 0.6836
Normal loss: 1.4796, Plan similarity: 0.9219, Random contrast: 0.6836
Normal loss: 1.4474, Plan similarity: 0.0796, Random contrast: 0.6875
Normal loss: 1.3226, Plan similarity: 4.5312, Random contrast: 0.6914
Normal loss: 1.4421, Plan similarity: 0.0247, Random contrast: 0.6875
Normal loss: 1.2407, Plan similarity: 0.0513, Random contrast: 0.6875
Normal loss: 1.1815, Plan similarity: 1.2031, Random contrast: 0.6914
Normal loss: 1.3428, Plan similarity: 0.0309, Random contrast: 0.6914
Normal loss: 1.3018, Plan similarity: 0.0352, Random contrast: 0.6914
Normal loss: 1.2808, Plan similarity: 0.0505, Random contrast: 0.6914
Normal loss: 1.1501, Plan similarity: 0.0425, Random contrast: 0.6914
Normal loss: 1.2269, Plan similarity: 6.5000, Random contrast: 0.6914
Normal loss: 1.2961, Plan similarity: 2.1250, Random contrast: 0.6914
Normal loss: 1.0406, Plan similarity: 0.0669, Random contrast: 0.6914
Normal loss: 1.0184, Plan similarity: 1.2422, Random contrast: 0.6914
Normal loss: 1.0872, Plan similarity: 0.0264, Random contrast: 0.6914
Normal loss: 1.0940, Plan similarity: 0.0369, Random contrast: 0.6914
Normal loss: 0.9843, Plan similarity: 0.0430, Random contrast: 0.6914
Normal loss: 0.9256, Plan similarity: 0.0132, Random contrast: 0.6914
Normal loss: 1.0218, Plan similarity: 0.0586, Random contrast: 0.6914
Normal loss: 1.1044, Plan similarity: 0.0383, Random contrast: 0.6914
Normal loss: 1.0295, Plan similarity: 0.7109, Random contrast: 0.6914
Normal loss: 0.9713, Plan similarity: 0.0537, Random contrast: 0.6875
Normal loss: 1.0638, Plan similarity: 3.2188, Random contrast: 0.6914
Normal loss: 0.9905, Plan similarity: 0.0518, Random contrast: 0.6914
Normal loss: 1.0112, Plan similarity: 0.0178, Random contrast: 0.6875
Normal loss: 0.9194, Plan similarity: 3.2344, Random contrast: 0.6914
Normal loss: 0.7784, Plan similarity: 1.7031, Random contrast: 0.6914
Normal loss: 0.9125, Plan similarity: 2.1562, Random contrast: 0.6914
Normal loss: 0.8815, Plan similarity: 0.0269, Random contrast: 0.6914
Normal loss: 0.8619, Plan similarity: 0.0344, Random contrast: 0.6914
Normal loss: 0.7176, Plan similarity: 0.0327, Random contrast: 0.6914
Normal loss: 0.8123, Plan similarity: 2.9844, Random contrast: 0.6914
Normal loss: 0.8733, Plan similarity: 3.1094, Random contrast: 0.6914
Normal loss: 0.7969, Plan similarity: 0.0459, Random contrast: 0.6875
Normal loss: 0.6946, Plan similarity: 0.0162, Random contrast: 0.6914
Normal loss: 0.7430, Plan similarity: 0.0315, Random contrast: 0.6914
Normal loss: 0.7026, Plan similarity: 1.5703, Random contrast: 0.6914
Normal loss: 0.7785, Plan similarity: 0.0537, Random contrast: 0.6914
Normal loss: 0.6848, Plan similarity: 6.5625, Random contrast: 0.6914
Normal loss: 0.6295, Plan similarity: 0.0447, Random contrast: 0.6914
Normal loss: 0.7036, Plan similarity: 2.4375, Random contrast: 0.6875
