[Full Training] Normal loss: 2.2070, Plan similarity: 0.5000, Random contrast: 0.6016
[Full Training] Normal loss: 1.7326, Plan similarity: 0.5000, Random contrast: 0.6797
[Full Training] Normal loss: 1.7457, Plan similarity: 0.5000, Random contrast: 0.6875
[Full Training] Normal loss: 1.6174, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 1.5007, Plan similarity: 0.5000, Random contrast: 0.6875
[Full Training] Normal loss: 1.5954, Plan similarity: 0.5000, Random contrast: 0.6875
[Full Training] Normal loss: 1.4581, Plan similarity: 0.5000, Random contrast: 0.6875
[Full Training] Normal loss: 1.4622, Plan similarity: 0.5000, Random contrast: 0.6875
[Full Training] Normal loss: 13.8969, Plan similarity: 0.5000, Random contrast: 0.6875
[Full Training] Normal loss: 3.3227, Plan similarity: 0.5000, Random contrast: 0.6758
[Full Training] Normal loss: 2.8952, Plan similarity: 0.5000, Random contrast: 0.6875
[Full Training] Normal loss: 1.7605, Plan similarity: 0.5000, Random contrast: 0.6875
[Full Training] Normal loss: 1.4920, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 1.5254, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 1.5183, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 1.3582, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 1.5437, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 1.3393, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 1.2715, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 1.2674, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 1.1800, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 1.1149, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 1.1810, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 1.1881, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 1.2093, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 1.1062, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 1.1197, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 1.0679, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.9956, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.9307, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 1.0042, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.9024, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.9468, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.8466, Plan similarity: 0.5000, Random contrast: 0.6875
[Full Training] Normal loss: 0.9105, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.8952, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.9044, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.9568, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.9348, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.9474, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.8015, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.8063, Plan similarity: 0.5000, Random contrast: 0.6875
[Full Training] Normal loss: 0.7621, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.7609, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.7732, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.6765, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.6942, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.6423, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.6511, Plan similarity: 0.5000, Random contrast: 0.6875
[Full Training] Normal loss: 0.5784, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.5796, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.7117, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.5092, Plan similarity: 0.5000, Random contrast: 0.6875
[Full Training] Normal loss: 0.5615, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.5300, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.6064, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.5529, Plan similarity: 0.5000, Random contrast: 0.6875
[Full Training] Normal loss: 0.5121, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.5109, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.6883, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.5427, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.5332, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.4685, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.4463, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.5430, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.5874, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.4883, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.5556, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.5215, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.4406, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.4632, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.4583, Plan similarity: 0.5000, Random contrast: 0.6914
[Full Training] Normal loss: 0.6221, Plan similarity: 0.5000, Random contrast: 0.6914
