drop_pct,comp_rate_bits_per_token,CE_full_bits,CE_comp_bits,method_detail,rate_unit,Delta_CE_bits,Delta_CE_pct,method,x_column,x_label,length_value
0.0,609734.9,0.0685,0.0685,drop_0%,bits/token,0.0,0.0,Training Free,drop_pct,Drop Percentage (%),
2.0,597514.5,0.0685,0.0852,drop_2%,bits/token,0.0167,24.3796,Training Free,drop_pct,Drop Percentage (%),
4.0,585340.8,0.0685,0.0893,drop_4%,bits/token,0.0208,30.365,Training Free,drop_pct,Drop Percentage (%),
6.0,573188.2,0.0685,0.0912,drop_6%,bits/token,0.0227,33.1387,Training Free,drop_pct,Drop Percentage (%),
8.0,560951.2,0.0685,0.0941,drop_8%,bits/token,0.0256,37.3723,Training Free,drop_pct,Drop Percentage (%),
10.0,548709.7,0.0685,0.0951,drop_10%,bits/token,0.0266,38.8321,Training Free,drop_pct,Drop Percentage (%),
12.0,536576.5,0.0685,0.0973,drop_12%,bits/token,0.0288,42.0438,Training Free,drop_pct,Drop Percentage (%),
14.0,524424.0,0.0685,0.0964,drop_14%,bits/token,0.0279,40.7299,Training Free,drop_pct,Drop Percentage (%),
16.0,512195.1,0.0685,0.0966,drop_16%,bits/token,0.0281,41.0219,Training Free,drop_pct,Drop Percentage (%),
18.0,499980.8,0.0685,0.0982,drop_18%,bits/token,0.0297,43.3577,Training Free,drop_pct,Drop Percentage (%),
20.0,487799.8,0.0685,0.0966,drop_20%,bits/token,0.0281,41.0219,Training Free,drop_pct,Drop Percentage (%),
22.0,475584.4,0.0685,0.0972,drop_22%,bits/token,0.0287,41.8978,Training Free,drop_pct,Drop Percentage (%),
24.0,463427.9,0.0685,0.0987,drop_24%,bits/token,0.0302,44.0876,Training Free,drop_pct,Drop Percentage (%),
26.0,451196.3,0.0685,0.102,drop_26%,bits/token,0.0335,48.9051,Training Free,drop_pct,Drop Percentage (%),
28.0,438992.3,0.0685,0.1041,drop_28%,bits/token,0.0356,51.9708,Training Free,drop_pct,Drop Percentage (%),
30.0,426808.6,0.0685,0.1044,drop_30%,bits/token,0.0359,52.4088,Training Free,drop_pct,Drop Percentage (%),
32.0,414619.1,0.0685,0.1037,drop_32%,bits/token,0.0352,51.3869,Training Free,drop_pct,Drop Percentage (%),
34.0,402375.1,0.0685,0.1041,drop_34%,bits/token,0.0356,51.9708,Training Free,drop_pct,Drop Percentage (%),
36.0,390207.3,0.0685,0.1043,drop_36%,bits/token,0.0358,52.2628,Training Free,drop_pct,Drop Percentage (%),
38.0,378041.1,0.0685,0.1034,drop_38%,bits/token,0.0349,50.9489,Training Free,drop_pct,Drop Percentage (%),
40.0,365824.4,0.0685,0.1032,drop_40%,bits/token,0.0347,50.6569,Training Free,drop_pct,Drop Percentage (%),
42.0,353650.6,0.0685,0.1051,drop_42%,bits/token,0.0366,53.4307,Training Free,drop_pct,Drop Percentage (%),
44.0,341452.4,0.0685,0.1073,drop_44%,bits/token,0.0388,56.6423,Training Free,drop_pct,Drop Percentage (%),
46.0,329282.8,0.0685,0.1041,drop_46%,bits/token,0.0356,51.9708,Training Free,drop_pct,Drop Percentage (%),
48.0,317028.2,0.0685,0.1024,drop_48%,bits/token,0.0339,49.4891,Training Free,drop_pct,Drop Percentage (%),
50.0,304913.0,0.0685,0.1033,drop_50%,bits/token,0.0348,50.8029,Training Free,drop_pct,Drop Percentage (%),
52.0,292706.7,0.0685,0.1054,drop_52%,bits/token,0.0369,53.8686,Training Free,drop_pct,Drop Percentage (%),
54.0,280480.7,0.0685,0.1053,drop_54%,bits/token,0.0368,53.7226,Training Free,drop_pct,Drop Percentage (%),
56.0,268282.5,0.0685,0.1037,drop_56%,bits/token,0.0352,51.3869,Training Free,drop_pct,Drop Percentage (%),
58.0,256097.5,0.0685,0.1053,drop_58%,bits/token,0.0368,53.7226,Training Free,drop_pct,Drop Percentage (%),
60.0,243910.5,0.0685,0.1082,drop_60%,bits/token,0.0397,57.9562,Training Free,drop_pct,Drop Percentage (%),
62.0,231735.5,0.0685,0.1095,drop_62%,bits/token,0.041,59.854,Training Free,drop_pct,Drop Percentage (%),
64.0,219527.6,0.0685,0.1087,drop_64%,bits/token,0.0402,58.6861,Training Free,drop_pct,Drop Percentage (%),
66.0,207318.0,0.0685,0.1041,drop_66%,bits/token,0.0356,51.9708,Training Free,drop_pct,Drop Percentage (%),
68.0,195115.8,0.0685,0.1069,drop_68%,bits/token,0.0384,56.0584,Training Free,drop_pct,Drop Percentage (%),
70.0,182864.5,0.0685,0.1088,drop_70%,bits/token,0.0403,58.8321,Training Free,drop_pct,Drop Percentage (%),
72.0,170742.6,0.0685,0.1115,drop_72%,bits/token,0.043,62.7737,Training Free,drop_pct,Drop Percentage (%),
74.0,158496.8,0.0685,0.1127,drop_74%,bits/token,0.0442,64.5255,Training Free,drop_pct,Drop Percentage (%),
76.0,146306.9,0.0685,0.11,drop_76%,bits/token,0.0415,60.5839,Training Free,drop_pct,Drop Percentage (%),
78.0,134150.5,0.0685,0.1138,drop_78%,bits/token,0.0453,66.1314,Training Free,drop_pct,Drop Percentage (%),
80.0,121935.0,0.0685,0.1171,drop_80%,bits/token,0.0486,70.9489,Training Free,drop_pct,Drop Percentage (%),
82.0,109725.6,0.0685,0.1182,drop_82%,bits/token,0.0497,72.5547,Training Free,drop_pct,Drop Percentage (%),
